id	description	denoise/reco2full_vs_noisy2full	emb_lung/ct_class	emb_lung/scib	emb_panc/ct_class	emb_panc/scib	grn_gwps/auprc	grn_gwps/auprc_omni	grn_gwps/auprc_self	grn_gwps/epr	grn_gwps/epr_omni	grn_gwps/epr_self	grn_omni/auprc	grn_omni/auprc_class	grn_omni/epr	grn_omni/epr_class	grn_omni/tf_enr	grn_omni/tf_enr_class	grn_omni/tf_targ_enr	grn_omni/tf_targ_enr_class	grn_sroy/auprc	grn_sroy/auprc_omni	grn_sroy/auprc_self	grn_sroy/epr	grn_sroy/epr_omni	grn_sroy/epr_self
24chcp2e	medium-nofreeze	0.152	0.45245	0.54057	0.52106	0.53215	0.02878	0.03083	0.0376	2.77557	3.05936	3.83061	0.00133	0.00158	1.14263	1.91876	4.0	6.0	39.94006	12.74848	0.10173	0.09972	0.10539	0.91703	0.7939	1.32004
25eer0xz	an-interesting-one	0.07483	0.50634	0.52797	0.36809	0.48255	0.02982	0.02909	0.03603	3.22513	2.85957	4.1003	0.00143	0.0014	2.01118	2.30699	8.0	3.0	14.36356	12.83615	0.09643	0.09792	0.09969	0.89802	0.86151	1.02706
3pb76o4g	medium-lognorm	0.16682	0.67238	0.55643	0.34092	0.47161	0.03526	0.03578	0.03628	3.77248	3.82457	3.89741	0.00152	0.00162	2.45498	2.58832	0.0	0.0	10.64455	8.5869	0.09302	0.09433	0.10555	0.95413	0.90526	1.43005
5qkqjrxy	medium-network-bias	0.1612	0.59747	0.53987	0.576	0.50358	0.03332	0.03332	0.03531	3.28547	3.28547	3.54479	0.00133	0.00134	1.39514	1.41487	0.0	1.0	16.13036	6.18852	0.10238	0.10132	0.09664	1.16931	0.93826	0.93763
3mku8wkc	medium-2-heads	0.10023	0.48616	0.54817	0.39977	0.52873	0.0274	0.02761	0.03077	2.62927	2.65964	3.14879	0.00135	0.00129	1.00503	1.60426	0.0	0.0	15.23042	4.96568	0.08805	0.09095	0.08574	0.62757	0.69091	0.71788
2rf0oi07	medium-network-bias-T	0.10829	0.50957	0.5212	0.45831	0.48241	0.03144	0.0337	0.0395	3.47242	3.77313	4.51628	0.00136	0.00133	1.93166	1.36108	3.0	2.0	16.2568	8.82592	0.11092	0.10496	0.10821	1.81834	1.81532	1.572
ghqf2hym	medium	0.12135	0.58358	0.54802	0.51636	0.50713	0.03183	0.03157	0.03462	3.2388	3.03954	3.51394	0.00148	0.00142	2.11125	2.29349	1.0	1.0	29.93792	21.467	0.09975	0.08891	0.08755	1.52356	0.72598	0.54047
lsr3pvnf	medium-MSE	0.21438	0.61474	0.56383	0.50586	0.49052	0.03273	0.03411	0.03866	2.84628	3.34814	3.79657	0.0018	0.00199	2.28729	2.72474	2.0	0.0	30.13864	30.18775	0.09462	0.09862	0.09863	0.91169	1.21761	1.23139
muwj73gx	medium-MVC	0.20504	0.51121	0.54845	0.39708	0.47309	0.03738	0.0365	0.04008	3.5245	3.40354	3.68893	0.00149	0.00141	1.95363	1.35139	2.0	0.0	8.23687	5.1139	0.103	0.103	0.0959	1.05089	1.05089	0.77724
n8jypo8z	medium-noPE	0.09462	0.70798	0.55718	0.34538	0.46053	0.03881	0.03872	0.03939	4.79328	4.78363	5.06078	0.00181	0.00186	2.50119	2.98377	1.0	2.0	40.83405	34.53823	0.09742	0.09729	0.09876	0.78716	0.72249	0.96853
o2uniqsx	current-large	0.1994993642288936	0.6254999844966047	0.5552693643219523	0.6174459772921499	0.5220923668594499	0.0306460415555964	0.0311005600829789	0.0350946360388424	2.7145869362980646	2.886613358457981	3.2332050737164537	0.0014	0.0014	1.04	2.07	7.0	8.0	28.0	13.2	0.0979328611181067	0.0958452741864261	0.1084646098963343	0.7645703676415441	0.9413489185979704	1.0978276921304817
or46096v	small	0.34195	0.31019	0.4742	0.10676	0.41234	0.03804	0.03804	0.03886	4.37494	4.37494	4.42019	0.00137	0.00134	2.04181	2.02035	2.0	2.0	9.0212	3.71007	0.09936	0.09936	0.10574	1.30303	1.30303	1.53829
q0fzpj5g	medium-no-random-weighted	0.16687	0.51	0.52552	0.1918	0.47589	0.03037	0.03054	0.03583	2.78759	2.88096	3.71651	0.0014	0.0015	1.35112	1.93683	2.0	2.0	20.0844	20.10492	0.10434	0.1043	0.09814	1.93656	1.96348	1.59798
7asy8qpn	large-lognorm	0.18222	0.68764	0.55595	0.52063	0.49943	0.03407	0.03465	0.03759	3.46568	3.59523	4.12646	0.00139	0.00142	2.02057	3.25717	6.0	6.0	32.28508	30.48454	0.09984	0.10165	0.10775	0.58869	0.98524	1.32207
